codgeo;P17_POP;P17_POP0014;P17_POP1529;P17_POP3044;P17_POP4559;P17_POP6074;P17_POP7589;P17_POP90P;NIXI_0_14;NIXI_15_29;NIXI_30_44;NIXI_45_59;NIXI_60_74;NIXI_75_89;NIXI_90_100;NIXI_TOTAL;average_age_population
1246;2172;450;347;420;389;387;157;21;3153;7641;15541;20245;25900;12881;2021;87381,3;40
1247;341;61;40;81;87;55;16;0;430;869;3001;4546;3699;1341;0;13885,4;41
1248;2100;358;408;342;619;286;81;6;2507;8980;12648;32170;19177;6611;609;82701,8;39
1249;9963;2044;1775;2001;2069;1280;682;113;14307;39044;74029;107581;85784;55894;10707;387346,6;39
1250;1941;374;405;347;436;276;98;5;2615;8909;12855;22650;18520;8037;485;74068,8;38
1252;778;173;94;156;157;137;56;4;1213;2069;5786;8184;9152;4626;376;31406,1;40
1254;1992;403;253;385;463;376;105;7;2824;5565;14237;24055;25188;8637;654;81161,5;41
1255;622;146;94;125;107;101;43;6;1023;2073;4624;5549;6763;3547;548;24127,3;39
1257;344;65;58;66;74;53;26;3;453;1272;2430;3822;3546;2170;279;13971,7;41
1258;1195;245;182;203;318;191;49;8;1714;4002;7493;16510;12788;4007;804;47317,9;40
1259;691;154;127;135;158;83;32;3;1076;2791;4987;8197;5552;2604;315;25522,9;37
1260;297;63;42;61;76;38;16;1;442;933;2259;3928;2565;1273;98;11499,2;39
1261;646;129;94;112;168;107;33;3;900;2078;4126;8725;7202;2719;286;26035,9;40
1262;6964;1296;1329;1326;1367;1018;539;89;9070;29236;49064;71109;68192;44206;8446;279323,1;40
1263;3793;770;503;761;796;596;319;47;5390;11069;28170;41408;39927;26197;4442;156604,8;41
1264;1040;208;164;191;252;149;59;16;1455;3603;7082;13094;10013;4868;1556;41671,7;40
1265;3435;706;569;676;725;512;230;17;4942;12513;25003;37720;34277;18872;1638;134967,1;39
1266;2489;351;395;362;473;501;332;75;2458;8681;13392;24600;33597;27230;7103;117061,4;47
1267;1028;205;147;208;216;190;55;6;1437;3240;7688;11238;12735;4546;577;41460,4;40
1268;252;50;25;47;55;52;18;4;351;541;1744;2876;3500;1512;389;10913,9;43
1269;3446;697;625;663;620;461;276;104;4880;13739;24522;32262;30909;22596;9913;138820,2;40
1272;1510;289;219;283;274;268;141;36;2023;4818;10471;14248;17956;11562;3420;64498,0;43
1273;1756;371;262;360;375;266;106;16;2597;5773;13335;19490;17796;8655;1531;69178,7;39
1274;639;134;106;134;134;86;39;6;937;2332;4951;6976;5793;3178;566;24734,2;39
1275;2527;491;381;463;575;448;158;11;3437;8382;17131;29900;30016;12956;1045;102867,0;41
1276;1619;354;260;325;404;209;62;5;2478;5720;12025;21008;14003;5084;475;60793,0;38
1277;119;21;16;22;28;21;11;0;147;352;814;1456;1407;902;0;5078,0;43
1279;89;12;13;13;18;20;8;5;82;280;470;937;1349;695;503;4315,4;48
1280;141;25;18;24;30;27;15;2;175;396;888;1560;1809;1230;190;6248,0;44
1281;4410;1035;688;997;987;477;186;41;7244;15134;36886;51322;31959;15212;3880;161637,1;37
1282;260;51;32;56;49;54;13;3;360;709;2088;2568;3646;1074;287;10732,6;41
1283;22427;4959;3710;4050;4466;3433;1584;226;34712;81613;149868;232223;229978;129869;21453;879716,7;39
1284;686;140;118;157;144;84;37;6;978;2586;5807;7488;5654;3039;604;26155,6;38
1285;1206;239;231;224;274;181;52;5;1673;5082;8288;14248;12127;4264;475;46157,0;38
1286;942;171;91;154;216;248;56;6;1200;2005;5681;11229;16591;4630;565;41899,7;44
1288;2620;592;434;685;574;236;90;9;4141;9539;25355;29847;15809;7413;879;92983,0;35
1289;6385;992;1069;898;1360;1221;725;120;6944;23507;33232;70733;81804;59429;11442;287090,9;45
1290;1201;186;194;193;284;227;103;14;1304;4262;7138;14751;15234;8416;1359;52464,8;44
1291;838;146;131;149;194;160;54;4;1022;2882;5513;10088;10720;4428;380;35033,0;42
1293;157;36;13;26;44;30;7;1;252;286;962;2288;2010;574;95;6467,0;41
1294;873;166;103;196;193;146;58;10;1161;2265;7264;10060;9799;4749;965;36263,8;42
1295;661;183;111;176;128;49;11;4;1279;2435;6497;6677;3262;896;377;21422,8;32
1296;408;90;53;88;73;69;30;5;629;1159;3271;3803;4598;2466;494;16419,2;40
1297;820;186;118;166;202;109;38;0;1304;2601;6159;10525;7287;3102;0;30978,4;38
1298;132;29;10;31;25;30;7;1;203;213;1140;1281;2005;577;84;5502,6;42
1299;564;112;100;114;137;77;22;2;784;2200;4218;7124;5159;1804;190;21479,0;38
1301;2511;490;329;458;556;445;213;20;3430;7238;16946;28912;29815;17466;1900;105707,0;42
1302;159;20;23;27;43;32;14;0;140;506;999;2236;2144;1148;0;7173,0;45
1303;1703;347;261;313;341;272;154;15;2429;5742;11581;17732;18224;12628;1425;69761,0;41
1304;2964;663;444;626;518;432;237;45;4638;9764;23158;26929;28948;19412;4287;117135,5;40
1305;2258;310;360;337;402;414;311;124;2168;7917;12481;20886;27706;25539;11824;108520,8;48
1306;1625;252;308;291;252;261;206;55;1763;6775;10777;13100;17473;16893;5235;72017,3;44
1307;849;149;141;134;183;151;86;4;1045;3106;4960;9506;10138;7078;386;36218,6;43
1308;812;156;127;154;196;127;46;6;1092;2789;5696;10203;8494;3795;574;32643,0;40
1309;88;15;15;13;20;15;8;2;105;330;481;1040;1005;656;190;3807,0;43
1310;248;34;19;62;83;39;9;1;240;420;2304;4321;2622;745;96;10748,0;43
1311;45;7;4;10;10;8;5;0;50;90;378;532;548;419;0;2017,8;45
1313;8233;2041;1284;2214;1541;888;250;15;14287;28254;81930;80116;59497;20486;1418;285986,4;35
1314;1729;389;217;410;366;211;119;17;2723;4774;15170;19032;14137;9758;1615;67209,0;39
1317;324;80;35;76;68;43;21;2;557;778;2797;3523;2894;1691;187;12425,9;38
1318;727;155;113;137;178;119;23;1;1086;2489;5076;9269;7984;1889;95;27888,4;38
1319;463;96;61;89;116;68;30;3;670;1332;3299;6051;4539;2499;291;18680,9;40
1320;3717;773;485;754;751;622;297;35;5414;10661;27898;39043;41651;24368;3352;152386,7;41
1321;905;194;121;170;231;140;47;2;1355;2668;6297;12030;9355;3844;194;35743,4;39
1322;4797;964;732;882;1072;716;339;92;6749;16096;32645;55763;47987;27773;8702;195715,4;41
1323;980;200;119;209;189;177;79;6;1402;2622;7748;9807;11877;6486;577;40520,5;41
1325;971;187;137;179;240;191;31;5;1312;3024;6628;12456;12793;2574;480;39267,6;40
1328;590;103;99;109;110;97;48;24;721;2178;4033;5720;6499;3936;2280;25367,0;43
1329;151;13;14;22;43;40;19;0;90;304;803;2258;2711;1538;0;7704,0;51
1330;186;29;24;19;57;34;21;2;200;517;718;2976;2260;1760;194;8625,5;46
1331;178;29;34;28;45;14;27;0;206;738;1054;2327;954;2252;0;7531,9;42
1332;751;145;108;160;170;131;36;2;1015;2366;5916;8827;8794;2914;187;30019,3;40
1333;3354;635;561;597;686;599;230;46;4445;12342;22089;35672;40133;18860;4370;137911,0;41
1334;626;144;93;136;133;94;23;3;1008;2046;5032;6916;6298;1886;285;23471,0;37
1335;390;107;47;87;75;52;22;0;747;1024;3231;3884;3510;1830;0;14226,3;36
